iter	Logloss
0	0.6522649052
1	0.6161792552
2	0.5844069107
3	0.5565538234
4	0.5316926425
5	0.5099395348
6	0.4901171703
7	0.4728897339
8	0.4577646439
9	0.444239021
10	0.4322810726
11	0.42181743
12	0.4125605982
13	0.4042060955
14	0.3967045317
15	0.3897804797
16	0.3834866397
17	0.3779314874
18	0.3728272674
19	0.3684866712
20	0.3642388776
21	0.3608479425
22	0.3577002658
23	0.3548842224
24	0.3524073891
25	0.3502816437
26	0.3481682481
27	0.3464389438
28	0.3448657186
29	0.343495582
30	0.3420978237
31	0.340929303
32	0.3399180714
33	0.3389801538
34	0.3381439921
35	0.337417822
36	0.3365712215
37	0.3359621069
38	0.3354163354
39	0.3349720087
40	0.3344840201
41	0.3340044327
42	0.3335164152
43	0.3331962876
44	0.332883376
45	0.3325090835
46	0.3322991193
47	0.3320275208
48	0.3318642332
49	0.3315382481
50	0.3313149298
51	0.3311519537
52	0.3309915078
53	0.3308348762
54	0.3307109584
55	0.3305024947
56	0.3303310718
57	0.3302177621
58	0.3300744671
59	0.3300094089
60	0.3298479719
61	0.3297219519
62	0.3296059242
63	0.3294948391
64	0.3293690223
65	0.3292836321
66	0.3292049804
67	0.3291449541
68	0.3290872351
69	0.329006369
70	0.3288856318
71	0.3288480308
72	0.3287776097
73	0.3287045318
74	0.3286057283
75	0.3285454102
76	0.3284910431
77	0.3284074764
78	0.3283765124
79	0.3282636247
80	0.3282216119
81	0.3281786954
82	0.3281411299
83	0.3281084995
84	0.3280820344
85	0.328050922
86	0.3279666012
87	0.3279040015
88	0.3278529415
89	0.3278334125
90	0.3278065918
91	0.3277907887
92	0.327773452
93	0.327714432
94	0.3276840536
95	0.3276328833
96	0.3275779198
97	0.327558215
98	0.3275365601
99	0.3274783117
100	0.3274217668
101	0.327409825
102	0.3273942209
103	0.3273710911
104	0.3273580811
105	0.3273077664
106	0.3272626674
107	0.3272484356
108	0.3272224841
109	0.3271673897
110	0.3271200613
111	0.327106371
112	0.3270733872
113	0.3270571933
114	0.3269878936
115	0.3269543084
116	0.3269334904
117	0.3268994581
118	0.3268587231
119	0.3268067498
120	0.3267972677
121	0.3267516693
122	0.3267151965
123	0.3266981064
124	0.3266611937
125	0.326634672
126	0.3266007868
127	0.32658254
128	0.3265717354
129	0.3265460135
130	0.3265004231
131	0.3264774792
132	0.3264513286
133	0.3264109578
134	0.3263945565
135	0.3263792646
136	0.3263644253
137	0.3263591402
138	0.326339397
139	0.3262998955
140	0.3262916894
141	0.3262741159
142	0.3262526695
143	0.3262278204
144	0.3262016651
145	0.3261685625
146	0.3261435339
147	0.3261286597
148	0.3260907092
149	0.3260668279
150	0.3260506399
151	0.3260262359
152	0.3260175959
153	0.3259995533
154	0.325968486
155	0.3259324737
156	0.3259126374
157	0.3258950046
158	0.3258813133
159	0.3258763732
160	0.3258575422
161	0.325835766
162	0.3258180923
163	0.3258109109
164	0.3258012744
165	0.3257676082
166	0.3257506913
167	0.3257314536
168	0.3257231023
169	0.3257156694
170	0.3257003386
171	0.3256882392
172	0.3256658312
173	0.3256344649
174	0.325627021
175	0.3256088174
176	0.3255876038
177	0.3255658899
178	0.3255498375
179	0.3255310262
180	0.325514584
181	0.3254932174
182	0.325475743
183	0.3254606518
184	0.3254391263
185	0.3254223916
186	0.3254132626
187	0.3254002147
188	0.3253906165
189	0.3253749509
190	0.3253565782
191	0.3253371831
192	0.3253165434
193	0.325303165
194	0.3252850907
195	0.3252759779
196	0.3252599763
197	0.3252464642
198	0.3252352425
199	0.3252143057
200	0.3251892979
201	0.325183604
202	0.3251635027
203	0.3251453033
204	0.3251400063
205	0.3251284166
206	0.3251148398
207	0.325094556
208	0.3250890847
209	0.3250644274
210	0.3250584342
211	0.3250333669
212	0.325017414
213	0.3249954844
214	0.3249914149
215	0.3249860867
216	0.3249636248
217	0.3249404684
218	0.3249340319
219	0.3249246091
220	0.3249046143
221	0.3248899368
222	0.3248753198
223	0.3248641355
224	0.3248439252
225	0.324830322
226	0.3248056066
227	0.3247960284
228	0.3247859402
229	0.3247695989
230	0.3247506926
231	0.3247316395
232	0.3247190515
233	0.3247007295
234	0.3246872257
235	0.3246766178
236	0.3246603066
237	0.3246484754
238	0.3246386712
239	0.3246201914
240	0.3246071831
241	0.3245931483
242	0.3245803012
243	0.324559903
244	0.3245509898
245	0.324537698
246	0.3245320322
247	0.324519754
248	0.3245062629
249	0.3244920305
250	0.3244814866
251	0.3244737441
252	0.3244609002
253	0.3244473377
254	0.3244338477
255	0.3244231512
256	0.3244163266
257	0.3243962031
258	0.3243807145
259	0.3243701061
260	0.3243669953
261	0.3243607584
262	0.3243476001
263	0.3243311607
264	0.3243153595
